MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2013-08-12,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,6.0,100.0
2013-08-19,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,5.0,71.42857142857143
2013-08-30,GUATEMALA,T,KBFI,KIWA,4,1,0.0,0.0,2.0,50.0
2013-09-09,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,5.0,55.55555555555556
2013-09-16,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,2.0,66.66666666666666
2013-09-23,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,4.0,80.0
2013-10-07,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,1.0,14.285714285714285
2013-10-21,GUATEMALA,T,KBFI,KIWA,23,1,0.0,0.0,21.0,91.30434782608695
2013-11-04,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,5.0,50.0
2013-11-11,GUATEMALA,T,KBFI,KELP,1,1,0.0,0.0,1.0,100.0
2013-11-11,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,3.0,50.0
2013-11-18,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,6.0,60.0
2013-11-25,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,3.0,60.0
2013-12-09,GUATEMALA,T,KBFI,KIWA,11,1,0.0,0.0,7.0,63.63636363636363
2013-12-16,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,1.0,100.0
2013-12-23,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,3.0,42.857142857142854
2014-01-11,GUATEMALA,T,KBFI,KSAT,5,1,0.0,0.0,3.0,60.0
2014-01-20,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,4.0,44.44444444444444
2014-02-03,GUATEMALA,T,KBFI,KIWA,13,1,0.0,0.0,9.0,69.23076923076923
2014-02-10,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,1.0,33.33333333333333
2014-03-04,GUATEMALA,T,KBFI,KIWA,16,1,0.0,0.0,9.0,56.25
2014-03-10,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,3.0,30.0
2014-03-17,GUATEMALA,T,KBFI,KIWA,4,1,0.0,0.0,2.0,50.0
2014-03-24,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,3.0,60.0
