,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total
,Airport Name,City,State,Country,Latitude,Longitude,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
Airport Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KABQ,Albuquerque International Sunport Airport,Albuquerque,NM,USA,35.039333,-106.610778,,,,,,,1549.0,715.0,,,,,,,1529.0,171.0,,,,,,,2220.0,715.0,,,,,,,990.0,171.0,,,,,,,32.0,6.0,,,,,,,10.0,3.0,,,,,,,3078.0,886.0
KAEX,Alexandria International Airport,Alexandria,LA,USA,31.327,-92.548,28647.0,31142.0,30367.0,26269.0,16963.0,16850.0,29727.0,29336.0,17585.0,24848.0,24594.0,20313.0,21098.0,25892.0,30718.0,24698.0,29785.0,32726.0,31461.0,27218.0,22347.0,24032.0,34127.0,32366.0,16582.0,23289.0,23507.0,19562.0,15847.0,18766.0,26484.0,21811.0,410.0,501.0,494.0,478.0,410.0,460.0,601.0,605.0,365.0,464.0,395.0,379.0,309.0,318.0,370.0,358.0,46232.0,55990.0,54961.0,46582.0,38061.0,42742.0,60445.0,54034.0
KALB,Albany International Airport,Albany,NY,USA,42.74800000000001,-73.803,,,,,,,,12.0,,,,,,,,337.0,,,,,,,,12.0,,,,,,,,337.0,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,349.0
KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,USA,33.64,-84.427,2449.0,1824.0,2873.0,3764.0,0.0,47.0,0.0,1496.0,22.0,148.0,990.0,358.0,0.0,304.0,279.0,475.0,2469.0,1831.0,2926.0,3964.0,0.0,136.0,0.0,1798.0,13.0,141.0,937.0,158.0,0.0,215.0,279.0,173.0,47.0,48.0,55.0,59.0,0.0,5.0,0.0,26.0,2.0,3.0,12.0,11.0,0.0,2.0,3.0,8.0,2471.0,1972.0,3863.0,4122.0,0.0,351.0,279.0,1971.0
KAUS,Austin Bergstrom International Airport,Austin,TX,USA,30.194000000000006,-97.67,,,1282.0,,,,,,25.0,0.0,135.0,,,,,,,,1417.0,,,,,,25.0,,,,,,,,,,11.0,,,,,,1.0,,,,,,,,25.0,0.0,1417.0,,,,,
KBDL,Bradley International Airport,Hartford,CT,USA,41.93899999999999,-72.683,,,,,,,,,19.0,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,1.0,,,,,,,,19.0,,,,,,,
KBED,Laurence G Hanscom Field,Bedford,MA,USA,42.47,-71.289,,,,19.0,,,,,,,,590.0,,,,,,,,269.0,,,,,,,,340.0,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,609.0,,,,
KBFI,Boeing Field King County International Airport,Seattle,WA,USA,47.53,-122.302,5815.0,4638.0,2460.0,685.0,313.0,225.0,406.0,1075.0,1366.0,2201.0,4490.0,5517.0,4345.0,5641.0,4471.0,4924.0,6629.0,5664.0,4797.0,3955.0,2732.0,3129.0,3390.0,3495.0,552.0,1175.0,2153.0,2247.0,1926.0,2737.0,1487.0,2504.0,99.0,70.0,50.0,51.0,33.0,47.0,53.0,53.0,47.0,51.0,44.0,48.0,37.0,44.0,42.0,50.0,7181.0,6839.0,6950.0,6202.0,4658.0,5866.0,4877.0,5999.0
KBFL,Meadows Field,Bakersfield,CA,USA,35.433,-119.057,6558.0,5791.0,3660.0,491.0,22.0,84.0,,,3204.0,3180.0,3396.0,494.0,109.0,11.0,,,9309.0,8265.0,5660.0,968.0,93.0,95.0,,,453.0,706.0,1404.0,17.0,38.0,,,,240.0,241.0,182.0,55.0,4.0,2.0,,,118.0,181.0,160.0,4.0,3.0,,,,9762.0,8971.0,7056.0,985.0,131.0,95.0,,
KBLV,Mid America St Louis/Scott AFB,Belleville,IL,USA,38.545,-89.835,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,3.0,,,,,,,,93.0,,
KBNA,Nashville International Airport,Nashville,TN,USA,36.124,-86.678,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,1.0,,,,,,,,56.0,,,,
KBOI,Boise Air Terminal/Gowen field,Boise,ID,USA,43.56399999999999,-116.223,389.0,323.0,51.0,,,,,,381.0,391.0,149.0,,,,,,770.0,713.0,200.0,,,,,,,1.0,,,,,,,31.0,32.0,9.0,,,,,,,1.0,,,,,,,770.0,714.0,200.0,,,,,
KBOS,General Edward Lawrence Logan International Airport,Boston,MA,USA,42.364,-71.005,,,,26.0,0.0,10.0,,,207.0,52.0,39.0,477.0,295.0,721.0,201.0,562.0,207.0,52.0,0.0,279.0,291.0,244.0,162.0,466.0,,,39.0,224.0,4.0,487.0,39.0,96.0,2.0,1.0,0.0,5.0,6.0,7.0,3.0,15.0,,,1.0,4.0,4.0,9.0,2.0,12.0,207.0,52.0,39.0,503.0,295.0,731.0,201.0,562.0
KBRO,Brownsville South Padre Island International Airport,Brownsville,TX,USA,25.907,-97.426,93.0,0.0,81.0,62440.0,37635.0,31012.0,29875.0,40295.0,,1.0,0.0,25315.0,8933.0,10344.0,7294.0,5926.0,93.0,0.0,81.0,70524.0,35509.0,34050.0,24965.0,31919.0,,1.0,0.0,17438.0,11072.0,7316.0,12348.0,14303.0,1.0,0.0,1.0,771.0,423.0,417.0,335.0,393.0,,1.0,0.0,296.0,198.0,162.0,197.0,211.0,93.0,1.0,81.0,87755.0,46578.0,41357.0,37169.0,46222.0
KBUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94,-78.732,,33.0,71.0,288.0,61.0,188.0,102.0,142.0,,1921.0,2148.0,2170.0,1005.0,1699.0,862.0,518.0,,946.0,1131.0,631.0,80.0,317.0,303.0,203.0,,1008.0,1088.0,1827.0,986.0,1570.0,661.0,457.0,,19.0,25.0,23.0,10.0,33.0,23.0,13.0,,14.0,17.0,27.0,13.0,37.0,21.0,12.0,,1954.0,2219.0,2458.0,1066.0,1887.0,964.0,660.0
KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,USA,39.175,-76.668,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,1.0,,,,,,,,34.0,,
KCHS,Charleston International Airport,Charleston,SC,USA,32.899,-80.04,,,,,,,,,,,,,,,923.0,,,,,,,,55.0,,,,,,,,868.0,,,,,,,,1.0,,,,,,,,8.0,,,,,,,,923.0,
KCLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.412,-81.85,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,2.0,,,,,,,,113.0
