,airport_name,monthly_dropoff_avg,monthly_dropoff_mission_avg,monthly_pickup_avg,monthly_pickup_mission_avg,removal_percent,total_unique,transfer_percent,unique_dropoff_missions,unique_dropoffs,unique_pickup_missions,unique_pickups,unique_removals,unique_transfers
KMIA,"{'AirportName': 'Miami International Airport', 'LatitudeDecimalDegrees': 25.793000000000006, 'LongitudeDecimalDegrees': -80.291}",231.19,5.08,561.49,14.69,55.81,78108,44.19,498,22657,1454,55588,43591,34516
KMSP,"{'AirportName': 'Minneapolis-St Paul International/Wold-Chamberlain Airport', 'LatitudeDecimalDegrees': 44.88, 'LongitudeDecimalDegrees': -93.217}",6.68,0.84,122.81,3.04,60.09,12813,39.91,82,655,301,12158,7699,5114
KMWA,"{'AirportName': 'Williamson County Regional Airport', 'LatitudeDecimalDegrees': 37.755, 'LongitudeDecimalDegrees': -89.011111}",,,1.0,1.0,0.0,1,100.0,0,0,1,1,0,1
KNJK,"{'AirportName': 'El Centro Naf Airport', 'LatitudeDecimalDegrees': 32.829, 'LongitudeDecimalDegrees': -115.672}",1272.25,11.5,42.0,2.0,99.56,20440,0.44,184,20356,4,84,20350,90
KNTD,"{'AirportName': 'Point Mugu Naval Air Station (Naval Base Ventura Co)', 'LatitudeDecimalDegrees': 34.12, 'LongitudeDecimalDegrees': -119.121}",588.5,5.0,,,0.0,1177,100.0,10,1177,0,0,0,1177
KNYL,"{'AirportName': 'Yuma MCAS/Yuma International Airport', 'LatitudeDecimalDegrees': 32.656667, 'LongitudeDecimalDegrees': -114.606111}",1002.14,9.62,11.81,0.12,98.7,29440,1.3,279,29062,4,378,29058,382
KOAK,"{'AirportName': 'Metropolitan Oakland International Airport', 'LatitudeDecimalDegrees': 37.721, 'LongitudeDecimalDegrees': -122.221}",25.8,5.26,417.86,10.0,62.51,42982,37.49,510,2503,970,40532,26867,16115
KOMA,"{'AirportName': 'Eppley Airfield', 'LatitudeDecimalDegrees': 41.302, 'LongitudeDecimalDegrees': -95.894}",6.22,0.62,94.06,2.67,55.68,9915,44.32,60,603,264,9312,5521,4394
KONT,"{'AirportName': 'Ontario International Airport', 'LatitudeDecimalDegrees': 34.056, 'LongitudeDecimalDegrees': -117.601}",24.09,0.52,31.63,0.57,35.83,5492,64.17,51,2361,56,3131,1968,3524
KOPF,"{'AirportName': 'Opa-Locka Executive Airport', 'LatitudeDecimalDegrees': 25.907, 'LongitudeDecimalDegrees': -80.278}",4.0,1.0,14.52,0.33,9.69,392,90.31,1,4,9,392,38,354
KORD,"{'AirportName': ""Chicago O'Hare International Airport"", 'LatitudeDecimalDegrees': 41.979, 'LongitudeDecimalDegrees': -87.904}",32.32,1.55,204.97,3.34,67.32,22240,32.68,143,2973,314,19267,14973,7267
KPAE,"{'AirportName': 'Snohomish County (Paine Field) Airport', 'LatitudeDecimalDegrees': 47.90600000000001, 'LongitudeDecimalDegrees': -122.281}",0.86,0.14,14.5,0.18,70.41,338,29.59,3,19,4,319,238,100
KPDX,"{'AirportName': 'Portland International Airport', 'LatitudeDecimalDegrees': 45.589, 'LongitudeDecimalDegrees': -122.597}",124.0,1.0,,,0.0,124,100.0,1,124,0,0,0,124
KPSM,"{'AirportName': 'Portsmouth International Airport', 'LatitudeDecimalDegrees': 43.078056, 'LongitudeDecimalDegrees': -70.82333299999998}",18.3,2.2,117.82,3.82,8.52,1479,91.48,22,183,42,1296,126,1353
KRFD,"{'AirportName': 'Chicago Rockford International Airport', 'LatitudeDecimalDegrees': 42.195278, 'LongitudeDecimalDegrees': -89.097222}",20.0,1.0,,,0.0,20,100.0,1,20,0,0,0,20
KRIC,"{'AirportName': 'Richmond International Airport', 'LatitudeDecimalDegrees': 37.505, 'LongitudeDecimalDegrees': -77.319}",14.2,0.64,36.4,0.73,12.31,2688,87.69,36,795,38,1893,331,2357
KRNO,"{'AirportName': 'Reno Tahoe International Airport', 'LatitudeDecimalDegrees': 39.49800000000001, 'LongitudeDecimalDegrees': -119.768}",1.5,1.5,24.74,1.35,49.3,1933,50.7,3,3,105,1930,953,980
KROW,"{'AirportName': 'Roswell International Air Center Airport', 'LatitudeDecimalDegrees': 33.301, 'LongitudeDecimalDegrees': -104.531}",28.0,1.0,108.0,3.33,92.05,352,7.95,1,28,10,324,324,28
KSAN,"{'AirportName': 'San Diego International Airport', 'LatitudeDecimalDegrees': 32.733000000000004, 'LongitudeDecimalDegrees': -117.189}",635.78,11.51,535.43,10.19,59.8,115897,40.2,1139,62942,1009,53008,69308,46589
KSAT,"{'AirportName': 'San Antonio International Airport', 'LatitudeDecimalDegrees': 29.534, 'LongitudeDecimalDegrees': -98.47}",68.49,1.87,1085.19,18.77,71.04,113444,28.95,176,6438,1858,107434,80593,32838
KSDM,"{'AirportName': 'Brown Field Municipal Airport', 'LatitudeDecimalDegrees': 32.572222, 'LongitudeDecimalDegrees': -116.980278}",,,4.0,1.0,100.0,4,0.0,0,0,1,4,4,0
KSKF,"{'AirportName': 'Lackland Air Force Base (Kelly Field Annex) Airport', 'LatitudeDecimalDegrees': 29.384, 'LongitudeDecimalDegrees': -98.581}",312.0,3.0,246.0,2.0,0.0,870,100.0,6,624,2,246,0,870
KSLC,"{'AirportName': 'Salt Lake City International Airport', 'LatitudeDecimalDegrees': 40.788, 'LongitudeDecimalDegrees': -111.978}",21.56,1.39,112.87,3.14,35.83,13152,64.17,135,2091,308,11061,4713,8439
KSMF,"{'AirportName': 'Sacramento International Airport', 'LatitudeDecimalDegrees': 38.695, 'LongitudeDecimalDegrees': -121.591}",,,28.5,0.75,15.79,114,84.21,0,0,3,114,18,96
KSTL,"{'AirportName': 'Lambert St Louis International Airport', 'LatitudeDecimalDegrees': 38.74800000000001, 'LongitudeDecimalDegrees': -90.36}",29.0,0.67,21.67,1.0,3.29,152,96.71,2,87,3,65,5,147
KTEB,"{'AirportName': 'Teterboro Airport', 'LatitudeDecimalDegrees': 40.85, 'LongitudeDecimalDegrees': -74.061}",,,7.0,1.0,100.0,7,0.0,0,0,1,7,7,0
KTOL,"{'AirportName': 'Toledo Express Airport', 'LatitudeDecimalDegrees': 41.586806, 'LongitudeDecimalDegrees': -83.807833}",19.46,1.68,252.89,4.09,57.51,26943,42.49,165,1907,405,25036,15494,11449
KTUS,"{'AirportName': 'Tucson International Airport', 'LatitudeDecimalDegrees': 32.116, 'LongitudeDecimalDegrees': -110.941}",69.83,0.78,336.32,2.95,65.73,14958,34.27,28,2514,109,12444,9832,5126
KTWF,"{'AirportName': 'Joslin Field Magic Valley Regional Airport', 'LatitudeDecimalDegrees': 42.481667, 'LongitudeDecimalDegrees': -114.487778}",,,51.64,1.36,67.78,568,32.22,0,0,15,568,385,183
KVCV,"{'AirportName': 'Southern California Logistics Airport', 'LatitudeDecimalDegrees': 34.593, 'LongitudeDecimalDegrees': -117.379}",18.31,0.19,40.43,0.39,0.0,1809,100.0,9,879,9,930,0,1809
KYIP,"{'AirportName': 'Willow Run Airport', 'LatitudeDecimalDegrees': 42.238, 'LongitudeDecimalDegrees': -83.53}",,,132.0,2.0,65.15,132,34.85,0,0,2,132,86,46
KYKM,"{'AirportName': 'Yakima Air Terminal', 'LatitudeDecimalDegrees': 46.568056, 'LongitudeDecimalDegrees': -120.544167}",133.0,1.0,108.0,1.0,0.0,241,100.0,1,133,1,108,0,241
KYNG,"{'AirportName': 'Youngston Warren Regional Airport', 'LatitudeDecimalDegrees': 41.261, 'LongitudeDecimalDegrees': -80.679}",45.96,1.04,3.78,0.33,2.2,1137,97.8,25,1103,3,34,25,1112
LATI,"{'AirportName': 'Tirana International Airport Mother Teresa', 'LatitudeDecimalDegrees': 41.415, 'LongitudeDecimalDegrees': 19.721}",0.12,0.05,,,100.0,7,0.0,3,7,0,0,7,0
LEMD,"{'AirportName': 'Adolfo Suarez Madrid-Barajas Airport', 'LatitudeDecimalDegrees': 40.472, 'LongitudeDecimalDegrees': -3.5610000000000004}",5.0,1.0,,,100.0,5,0.0,1,5,0,0,5,0
LFPB,"{'AirportName': 'Le Bourget International Airport', 'LatitudeDecimalDegrees': 48.969, 'LongitudeDecimalDegrees': 2.441}",1.0,0.5,,,100.0,4,0.0,2,4,0,0,4,0
