|AirportID|AirportName|City|Country|DropLoc_count|ICAO|PULOC_count|StateAbbr|StateID
1096675|133.0|Ruzyn-¢ International Airport|Prague|Czech Republic|1.0|LKPR|||
1096677|241.0|Boryspil International Airport|Boryspil|Ukraine|1.0|UKBB|||
1111190|140.0|Atatürk International Airport |Istanbul|Turkey|1.0|LTBA|||
1111191|242.0|Toshkent Xalqaro|Tashkent|Uzbekistan|1.0|UTTT|||
1145565|243.0|Khartoum International Airport|Khartoum|Sudan|1.0|HSSS|||
1145570|245.0|Entebbe International Airport|Entebbe|Uganda|1.0|HUEN|||
1179341|246.0|Fuzhou Changle International Airport|Fuzhou|China|1.0|ZSFZ|||
1183763|247.0|N'Djamena International Airport|N'Djamena|Chad|1.0|FTTJ|||
1210941|250.0|Mid America St Louis/Scott AFB|Belleville|USA|1.0|KBLV||IL|16.0
1208619|205.0|Baltimore/Washington International Thurgood Marshall Airport|Baltimore|USA|1.0|KBWI||MD|22.0
1217160|249.0|Amman Civil Airport|Amman|Jordan|1.0|OJAM|||
1225508|251.0|Marshall Islands International Airport|Rairok|Republic of the Marshall Islands|1.0|PKMJ|||
1225509|252.0|Phnom Penh International Airport|Phnom Penh|Cambodia|1.0|VDPP|||
1225507|253.0|Tan So'n Nhat International Airport|Ho Chi Minh|Vietnam|1.0|VVTS|||
1234612|258.0|Le Bourget International Airport|Paris|France|1.0|LFPB|||
1233425|255.0|Ezeiza International Airport|Buenos Aires|Argentina|1.0|SAEZ|||
1233434|256.0|Jorge Chavez International Airport|Callao|Peru|1.0|SPJC|||
1233432|257.0|Carrasco International Airport|Montevideo|Uruguay|1.0|SUMU|||
1251791|96.0|Opa-Locka Executive Airport|Miami|USA|1.0|KOPF||FL|10.0
1258330|260.0|Taiwan Taoyuan International Airport|Taipei|Taiwan|1.0|RCTP|||
1258324|175.0|Ninoy Aquino International Airport|Manila|Philippines|1.0|RPLL|||
1271991|265.0|Grantley Adams International Airport|Seawell|Barbados|1.0|TBPB|||
1271990|266.0|Robert L. Bradshaw International Airport|Basseterre|St. Kitts|1.0|TKPK|||
1271993|267.0|Canouan Airport|Canouan|St. Vincent|1.0|TVSC|||
1263049|198.0|Dhaka Shahjalal International Airport|Dhaka|Bangladesh|1.0|VGHS|||
1263080|264.0|Indira Gandhi International Airport|Delhi|India|1.0|VIDP|||
1263076|199.0|Tribhuvan International Airport|Kathmandu|Nepal|1.0|VNKT|||
1278787|268.0|Lomé–Tokoin Airport|Togo|Lomé|1.0|DXXX|||
1287222|271.0|Vilnius International Airport|Vilnius|Lithuania|1.0|EYVI|||
1278789|269.0|Malabo Santa Isabel Airport|Malabo|Equatorl Guinea|1.0|FGSL|||
1287215|270.0|Vnukovo International Airport|Moscow|Russia|1.0|UUWW|||
1334607|273.0|Fua'amotu International Airport|Fua'amotu|Tonga|1.0|NFTF|||
1334606|274.0|Wellington International Airport|Wellington|New Zealand|1.0|NZWN|||
1334605|275.0|Sydney Kingsford Smith Airport|Sydney|Australia|1.0|YSSY|||
1365513|279.0|Charleston International Airport|Charleston|USA|1.0|KCHS||SC|43.0
1367446|277.0|Yakima Air Terminal|Yakima|USA|1.0|KYKM||WA|51.0
1380833|21.0|Banjul International Airport|Banjul|Gambia|1.0|GBYD|||
1382892|278.0|Nouakchott-Oumtounsy International Airport|Nouakchott|Mauritania|1.0|GQNO|||
1387498||Chicago Midway International Airport||USA|1.0|KMDW|||
1395286|281.0|Youngston Warren Regional Airport|Vienna Center|USA|1.0|KYNG|||
1400542|280.0|Panama International Airport|Panama City|Panama|1.0|MPTO|||
1413072|283.0|Aden Adde International Airport|Mogadishu|Somalia|1.0|HCMM|||
1415005|282.0|Adolfo Suarez Madrid-Barajas Airport|Madrid|Spain|1.0|LEMD|||
1415004|130.0|Ciampino Airport|Rome|Italy|1.0|LIRA|||
1415008|137.0|Sarajevo International Airport|Sarajevo|Bosnia|1.0|LQSA|||
1429468|285.0|Harare International Airport|Harare|Zimbabwe|1.0|FVHA|||
1437741|25.0|Léopold Sédar Senghor International Airport|Dakar|Senegal|1.0|GOOY|||
1429734|204.0|Albuquerque International Sunport Airport|Albuquerque|USA|1.0|KABQ||NM|34.0
1439387||Sacramento Mather Airport||USA|1.0|KMHR|||
1454811|23.0|Lungi International Airport|Freetown|Sierra Leone|1.0|GFLL|||
1458071|290.0|Hamid Karzai International Airport|Kabul|Afghanistan|1.0|KKBL|||
1458055|289.0|Baghdad International Airport|Baghdad|Iraq|2.0|ORBI|||
1458056|165.0|Baghdad International Airport|Baghdad|Iraq|2.0|ORBI|||
1457622|288.0|Johan Adolf Pengel International Airport|Paramaribo|Suriname|1.0|SMJP|||
1448402|287.0|Grenada International Airport|St. Georges|Grenada|1.0|TGPY|||
1485788|262.0|Houari Boumediene Airport|Algiers|Algeria|1.0|DAAG|||
1528082|293.0|Kabul International Airport|Kabul|Afghanistan|1.0|OAKB|||
1540061|183.0|V.C. Bird International Airport|Antigua|Antigua and Barbuda|1.0|TAPA|||
1543809|28.0|Praia International Airport|Praia|Cape Verde|1.0|GVNP|||
1540355|211.0|Cleveland Hopkins International Airport|Cleveland|USA|1.0|KCLE||OH|37.0
1551893|||||2.0|KFTW|||
1746357|301.0|Fort Worth Meacham International Airport|Fort Worth|USA|2.0|KFTW||TX|46.0
1557998|4.0|Ouagadougou Airport|Ouagadougou|Burkina Faso|1.0|DFFD|||
1568341|296.0|Yangon International Airport|Yangon|Myanmar|1.0|VYYY|||
1581629|276.0|Lanseria Airport|Johannesburg|South Africa|1.0|FALA|||
1591391|291.0|Portsmouth International Airport|Portsmouth, NH|USA|1.0|KPSM|||
1597398|300.0|Islamabad International Airport|Islamabad|Pakistan|1.0|OPRN|||
1597385|171.0|Honolulu International Airport|Honolulu|USA|1.0|PHNL||HI|13.0
1603690|297.0|Hewanorra International Airport|Vieux Fort|St. Lucia|1.0|TLPL|||
1608869||Faleolo International Airport||Samoa|1.0|NSFA|||
1620234|295.0|Dubai International Airport|Dubai|UAE|1.0|OMDW|||
1623787|298.0|London Heathrow Airport|London|United Kingdom|1.0|EGSS|||
1648064|200.0|Suvarnabhumi Airport|Bangkok|Thailand|1.0|VTBS|||
1665299|248.0|Mohammed V International Airport|Casablanca|Morocco|1.0|GMMN|||
1658826|100.0|Portland International Airport|Portland|USA|1.0|KPDX||OR|39.0
1672554||Albany International Airport||USA|1.0|KALB|||
1709098||Maya-Maya Airport||Republic of the Congo|1.0|FCBB|||
1709100||Hosea Kutako International Airport||Namibia|1.0|FYWH|||
1709571||Bujumbura International Airport||Burundi|1.0|HBBA|||
1718912||Tancredo Neves International Airport||Brazil|1.0|SBCF|||
1745729|302.0|Brasilia International Airport|Brasilia|Brazil|1.0|SBBR|||
