,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
47,2010-11-08,GUATEMALA,R,KMIA,MGGT,30,1,0.0,0.0,0.0,0.0
48,2010-11-09,GUATEMALA,R,KAEX,MGGT,71,1,0.0,0.0,37.0,52.112676056338024
49,2010-11-09,GUATEMALA,R,KIWA,MGGT,107,1,7.0,0.06542056074766354,3.0,2.803738317757009
50,2010-11-10,GUATEMALA,R,KCSG,MGGT,63,1,0.0,0.0,5.0,7.936507936507936
51,2010-11-10,GUATEMALA,R,KIAH,MGGT,27,1,0.0,0.0,6.0,22.22222222222222
52,2010-11-12,GUATEMALA,R,KHRL,MGGT,51,1,0.0,0.0,51.0,100.0
53,2010-11-12,GUATEMALA,R,KIWA,MGGT,88,1,2.0,0.022727272727272728,73.0,82.95454545454545
54,2010-11-12,GUATEMALA,R,KSAT,MGGT,52,1,0.0,0.0,44.0,84.61538461538461
55,2010-11-17,GUATEMALA,R,KDAL,MGGT,20,1,0.0,0.0,4.0,20.0
56,2010-11-17,GUATEMALA,R,KIAH,MGGT,26,1,4.0,0.15384615384615385,10.0,38.46153846153847
57,2010-11-17,GUATEMALA,R,KIWA,MGGT,59,1,0.0,0.0,40.0,67.79661016949152
58,2010-11-17,GUATEMALA,R,KMIA,MGGT,46,1,1.0,0.021739130434782608,32.0,69.56521739130434
59,2010-11-18,GUATEMALA,R,KAEX,MGGT,123,1,0.0,0.0,54.0,43.90243902439025
60,2010-11-19,GUATEMALA,R,KHRL,MGGT,60,1,7.0,0.11666666666666667,55.0,91.66666666666666
61,2010-11-19,GUATEMALA,R,KIWA,MGGT,97,1,1.0,0.010309278350515464,79.0,81.44329896907216
62,2010-11-19,GUATEMALA,R,KSAT,MGGT,34,1,0.0,0.0,20.0,58.82352941176471
63,2010-11-22,GUATEMALA,R,KMIA,MGGT,38,1,1.0,0.02631578947368421,30.0,78.94736842105263
64,2010-11-23,GUATEMALA,R,KAEX,MGGT,116,1,0.0,0.0,55.0,47.41379310344828
65,2010-11-23,GUATEMALA,R,KIWA,MGGT,96,1,2.0,0.020833333333333332,42.0,43.75
66,2010-11-24,GUATEMALA,R,KCSG,MGGT,81,1,0.0,0.0,11.0,13.580246913580247
67,2010-11-26,GUATEMALA,R,KHRL,MGGT,56,1,0.0,0.0,56.0,100.0
68,2010-11-26,GUATEMALA,R,KIWA,MGGT,82,1,7.0,0.08536585365853659,68.0,82.92682926829268
69,2010-11-26,GUATEMALA,R,KSAT,MGGT,59,1,2.0,0.03389830508474576,50.0,84.7457627118644
70,2010-12-01,GUATEMALA,R,KDAL,MGGT,42,1,0.0,0.0,16.0,38.095238095238095
71,2010-12-01,GUATEMALA,R,KMIA,MGGT,44,1,4.0,0.09090909090909091,26.0,59.09090909090909
72,2010-12-02,GUATEMALA,R,KAEX,MGGT,121,1,0.0,0.0,59.0,48.760330578512395
73,2010-12-03,GUATEMALA,R,KHRL,MGGT,111,1,2.0,0.018018018018018018,104.0,93.69369369369369
74,2010-12-03,GUATEMALA,R,KIWA,MGGT,125,1,5.0,0.04,94.0,75.2
75,2010-12-03,GUATEMALA,R,KSAT,MGGT,14,1,1.0,0.07142857142857142,14.0,100.0
76,2010-12-06,GUATEMALA,R,KMIA,MGGT,27,1,0.0,0.0,10.0,37.03703703703704
77,2010-12-07,GUATEMALA,R,KIWA,MGGT,111,1,0.0,0.0,59.0,53.153153153153156
78,2010-12-08,GUATEMALA,R,KAEX,MGGT,116,1,0.0,0.0,63.0,54.310344827586206
79,2010-12-08,GUATEMALA,R,KCSG,MGGT,68,1,0.0,0.0,9.0,13.23529411764706
80,2010-12-08,GUATEMALA,R,KHRL,MGGT,37,1,0.0,0.0,36.0,97.2972972972973
81,2010-12-08,GUATEMALA,R,KIAH,MGGT,22,1,0.0,0.0,3.0,13.636363636363635
82,2010-12-08,GUATEMALA,R,KSAT,MGGT,67,1,0.0,0.0,56.0,83.5820895522388
83,2010-12-13,GUATEMALA,R,KIWA,MGGT,72,1,0.0,0.0,67.0,93.05555555555556
84,2010-12-14,GUATEMALA,R,KIWA,MGGT,122,1,1.0,0.00819672131147541,70.0,57.377049180327866
85,2010-12-15,GUATEMALA,R,KDAL,MGGT,45,1,0.0,0.0,21.0,46.666666666666664
86,2010-12-15,GUATEMALA,R,KMIA,MGGT,69,1,3.0,0.043478260869565216,44.0,63.76811594202898
87,2010-12-16,GUATEMALA,R,KAEX,MGGT,122,1,0.0,0.0,64.0,52.459016393442624
88,2010-12-17,GUATEMALA,R,KHRL,MGGT,52,1,3.0,0.057692307692307696,50.0,96.15384615384616
89,2010-12-17,GUATEMALA,R,KIWA,MGGT,91,1,3.0,0.03296703296703297,81.0,89.01098901098901
90,2010-12-17,GUATEMALA,R,KSAT,MGGT,79,1,2.0,0.02531645569620253,55.0,69.62025316455697
91,2010-12-20,GUATEMALA,R,KMIA,MGGT,64,1,0.0,0.0,30.0,46.875
92,2010-12-21,GUATEMALA,R,KHRL,MGGT,38,1,0.0,0.0,37.0,97.36842105263158
