CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KGYY
STATELESS,1.7902724679194724e-05,0.0
SUDAN,0.000126474087249795,3.8092335822032604e-05
SURINAME,5.775072477159589e-06,0.0
SWEDEN,5.775072477159589e-06,0.0
SYRIA,6.410330449647143e-05,0.00011427700746609783
TAIWAN,1.8480231926910683e-05,0.0
TAJIKISTAN,1.2127652202035135e-05,0.0
TANZANIA,4.100301458783308e-05,3.8092335822032604e-05
THAILAND,5.8328232019311846e-05,3.8092335822032604e-05
TOGO,8.200602917566616e-05,3.8092335822032604e-05
TONGA,1.1550144954319177e-05,3.8092335822032604e-05
TRINIDAD,0.00010683884082745238,0.0
TRINIDAD & TOBAGO,8.83586089005417e-05,3.8092335822032604e-05
TUNISIA,8.662608715739382e-06,0.0
TURKEY,0.00011838898578177157,0.00015236934328813042
TURKMENISTAN,5.775072477159588e-07,0.0
TURKS & CAICOS ISLANDS,7.507594220307465e-06,0.0
UGANDA,3.465043486295753e-05,0.0
UKRAINE,0.00020501507293916538,0.00015236934328813042
UNITED ARAB EMIRATES,2.8875362385797943e-06,0.0
UNITED KINGDOM,9.471118862541726e-05,3.8092335822032604e-05
UNITED STATES OF AMERICA,4.620057981727671e-06,0.0
UNKNOWN,5.717321752387993e-05,3.8092335822032604e-05
URUGUAY,3.2917913119809654e-05,0.0
UZBEKISTAN,7.103339146906293e-05,0.00011427700746609783
VENEZUELA,0.0002598782614721815,0.0003809233582203261
VIETNAM,0.0004672033634022107,7.618467164406521e-05
VIRGIN ISLANDS,2.3100289908638354e-06,3.8092335822032604e-05
YEMEN,3.1762898624377735e-05,0.0
YUGOSLAVIA,1.0972637706603218e-05,3.8092335822032604e-05
ZAMBIA,1.7902724679194724e-05,0.0
ZIMBABWE,2.1945275413206436e-05,0.00011427700746609783
