MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2013-04-29,MEXICO,T,KSAT,KBFI,5,1,0.0,0.0,1.0,20.0
2013-05-06,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2013-05-09,MEXICO,T,KSAT,KBFI,4,1,0.0,0.0,2.0,50.0
2013-05-13,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,4.0,100.0
2013-06-03,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,5.0,100.0
2013-06-17,MEXICO,T,KIWA,KBFI,9,1,0.0,0.0,9.0,100.0
2013-07-01,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,2.0,100.0
2013-08-05,MEXICO,T,KIWA,KBFI,21,1,0.0,0.0,17.0,80.95238095238095
2013-09-16,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,2.0,100.0
2013-09-23,MEXICO,T,KIWA,KBFI,15,1,0.0,0.0,15.0,100.0
2013-09-30,MEXICO,T,KIWA,KBFI,9,1,0.0,0.0,8.0,88.88888888888889
2013-11-18,MEXICO,T,KBFL,KBFI,9,1,0.0,0.0,0.0,0.0
2013-11-18,MEXICO,T,KIWA,KBFI,15,1,0.0,0.0,3.0,20.0
2013-11-25,MEXICO,T,KIWA,KBFI,21,1,0.0,0.0,21.0,100.0
2013-12-09,MEXICO,T,KIWA,KBFI,19,1,0.0,0.0,11.0,57.89473684210527
2013-12-23,MEXICO,T,KIWA,KBFI,12,1,0.0,0.0,12.0,100.0
2014-01-20,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,1.0,50.0
2014-01-20,MEXICO,T,KSAN,KBFI,23,1,0.0,0.0,23.0,100.0
2014-01-27,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-02-10,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2014-02-26,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-03-03,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-03-03,MEXICO,T,KSAT,KBFI,2,1,0.0,0.0,0.0,0.0
2014-03-17,MEXICO,T,KIWA,KBFI,19,1,0.0,0.0,17.0,89.47368421052632
2014-03-31,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,4.0,80.0
2014-04-07,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,3.0,75.0
2014-04-15,MEXICO,T,KIWA,KBFI,6,1,0.0,0.0,6.0,100.0
2014-04-28,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,2.0,100.0
2014-05-05,MEXICO,T,KIWA,KBFI,21,1,0.0,0.0,21.0,100.0
2014-05-19,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,3.0,75.0
2014-05-26,MEXICO,T,KIWA,KBFI,6,1,0.0,0.0,6.0,100.0
2014-06-01,MEXICO,T,KBRO,KBFI,1,1,1.0,1.0,1.0,100.0
2014-06-08,MEXICO,T,KSAT,KBFI,2,1,1.0,0.5,2.0,100.0
2014-06-16,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,9.0,90.0
2014-06-16,MEXICO,T,KSAT,KBFI,1,1,0.0,0.0,1.0,100.0
2014-06-16,MEXICO,T,KBRO,KBFI,1,1,1.0,1.0,1.0,100.0
2014-06-23,MEXICO,T,KIWA,KBFI,21,1,0.0,0.0,21.0,100.0
2014-06-30,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,9.0,90.0
2014-07-14,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,3.0,100.0
2014-07-15,MEXICO,T,KBRO,KBFI,4,1,1.0,0.25,4.0,100.0
2014-07-21,MEXICO,T,KIWA,KBFI,14,1,0.0,0.0,14.0,100.0
2014-07-28,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-08-01,MEXICO,T,KSAT,KBFI,9,1,0.0,0.0,9.0,100.0
2014-08-04,MEXICO,T,KIWA,KBFI,19,1,0.0,0.0,19.0,100.0
2014-08-14,MEXICO,T,KBRO,KBFI,7,1,0.0,0.0,7.0,100.0
2014-08-18,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,5.0,100.0
2014-08-28,MEXICO,T,KBRO,KBFI,13,1,0.0,0.0,13.0,100.0
2014-09-01,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-09-10,MEXICO,T,KIWA,KBFI,24,1,0.0,0.0,24.0,100.0
2014-09-29,MEXICO,T,KIWA,KBFI,18,1,0.0,0.0,18.0,100.0
2014-10-20,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,1.0,50.0
2014-10-27,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-11-10,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-12-08,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2014-12-22,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,3.0,100.0
2015-01-05,MEXICO,T,KIWA,KBFI,26,1,0.0,0.0,25.0,96.15384615384616
2015-01-12,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,1.0,50.0
2015-01-19,MEXICO,T,KIWA,KBFI,30,1,0.0,0.0,29.0,96.66666666666667
2015-02-02,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2015-02-09,MEXICO,T,KSAN,KBFI,72,1,0.0,0.0,52.0,72.22222222222221
2015-02-23,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2015-02-23,MEXICO,T,KSAN,KBFI,58,1,0.0,0.0,50.0,86.20689655172413
2015-03-23,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2015-04-03,MEXICO,T,KBRO,KBFI,12,1,0.0,0.0,9.0,75.0
2015-04-06,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,3.0,75.0
2015-04-20,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2015-04-24,MEXICO,T,KBRO,KBFI,8,1,0.0,0.0,7.0,87.5
2015-05-04,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2015-05-12,MEXICO,T,KSAT,KBFI,3,1,0.0,0.0,3.0,100.0
2015-05-15,MEXICO,T,KSAT,KBFI,1,1,0.0,0.0,1.0,100.0
2015-05-18,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2015-05-21,MEXICO,T,KBRO,KBFI,6,1,0.0,0.0,3.0,50.0
2015-06-01,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,1.0,33.33333333333333
2015-06-12,MEXICO,T,KSAT,KBFI,1,1,0.0,0.0,1.0,100.0
2015-06-22,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,0.0,0.0
2015-06-29,MEXICO,T,KSAT,KBFI,5,1,0.0,0.0,2.0,40.0
2015-07-13,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2015-07-27,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2015-08-05,MEXICO,T,KSAT,KBFI,3,1,0.0,0.0,0.0,0.0
