CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KBFI
ST. KITTS-NEVIS,1.2478587877619086e-05,0.0
ST. LUCIA,7.373711018593096e-06,2.013814769317518e-05
ST. VINCENT & THE GRENADINES,5.672085398917766e-06,0.0
STATELESS,1.7583464736645076e-05,2.013814769317518e-05
SUDAN,0.00012421867023629907,0.0001006907384658759
SURINAME,5.672085398917766e-06,0.0
SWEDEN,5.672085398917766e-06,0.0
SYRIA,6.296014792798721e-05,0.000443039249249854
TAIWAN,1.8717881816428628e-05,2.013814769317518e-05
TAJIKISTAN,1.1911379337727308e-05,0.0
TANZANIA,4.027180633231614e-05,6.0414443079525545e-05
THAILAND,5.785527106896122e-05,0.00012082888615905109
TOGO,8.054361266463227e-05,0.00014096703385222626
TONGA,1.1344170797835532e-05,0.0
TRINIDAD,0.00010493357987997868,0.0
TRINIDAD & TOBAGO,8.678290660344183e-05,0.0
TUNISIA,8.508128098376648e-06,4.027629538635036e-05
TURKEY,0.0001162777506778142,0.0002819340677044525
TURKMENISTAN,5.672085398917766e-07,0.0
TURKS & CAICOS ISLANDS,7.373711018593096e-06,0.0
UGANDA,3.4032512393506594e-05,6.0414443079525545e-05
UKRAINE,0.0002013590316615807,0.0008458022031133576
UNITED ARAB EMIRATES,2.836042699458883e-06,0.0
UNITED KINGDOM,9.358940908214313e-05,0.00014096703385222626
UNITED STATES OF AMERICA,4.537668319134213e-06,0.0
UNKNOWN,6.012410522852832e-05,8.055259077270072e-05
URUGUAY,3.233088677383127e-05,0.0001006907384658759
UZBEKISTAN,6.976665040668852e-05,6.0414443079525545e-05
VENEZUELA,0.00025524384295129947,0.0003222103630908029
VIETNAM,0.00046454379417136505,0.0009464929415792336
VIRGIN ISLANDS,2.2688341595671065e-06,0.0
YEMEN,3.119646969404771e-05,8.055259077270072e-05
YUGOSLAVIA,1.0776962257943755e-05,0.0
ZAMBIA,1.7583464736645076e-05,0.0
ZIMBABWE,2.155392451588751e-05,2.013814769317518e-05
