ICAOCode, AirportName,Altitude,City,Country,IATACode,LatitudeDecimalDegrees,LatitudeDegrees,LatitudeDirection,LatitudeMinutes,LatitudeSeconds,LongitudeDecimalDegrees,LongitudeDegrees,LongitudeDirection,LongitudeMinutes,LongitudeSeconds
CYDC,PRINCETON,701.0,PRINCETON,CANADA,YDC,49.468,49.0,N,28.0,3.0,-120.512,120.0,W,30.0,43.0
CYDF,DEER LAKE,22.0,DEER LAKE,CANADA,YDF,49.211000000000006,49.0,N,12.0,39.0,-57.391000000000005,57.0,W,23.0,29.0
CYDL,DEASE LAKE,793.0,DEASE LAKE,CANADA,YDL,58.422,58.0,N,25.0,20.0,-130.032,130.0,W,1.0,56.0
CYDN,DAUPHIN BARKER,305.0,DAUPHIN,CANADA,YDN,51.101000000000006,51.0,N,6.0,3.0,-100.052,100.0,W,3.0,9.0
CYDQ,DAWSON CREEK,655.0,DAWSON CREEK,CANADA,YDQ,55.742,55.0,N,44.0,30.0,-120.182,120.0,W,10.0,55.0
CYDR,,0.0,BROADVIEW,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYED,EDMONTON NAMAO,0.0,EDMONTON,CANADA,YED,53.667,53.0,N,40.0,0.0,-113.46700000000001,113.0,W,28.0,0.0
CYEG,EDMONTON INTERNATIONAL,724.0,EDMONTON,CANADA,YEG,53.31,53.0,N,18.0,35.0,-113.58,113.0,W,34.0,47.0
CYEK,ARVIAT,10.0,ESKIMO POINT,CANADA,YEK,61.093999999999994,61.0,N,5.0,39.0,-94.071,94.0,W,4.0,15.0
CYEN,ESTEVAN,581.0,ESTEVAN,CANADA,YEN,49.21,49.0,N,12.0,37.0,-102.96600000000001,102.0,W,57.0,57.0
CYEP,,0.0,ESTEVAN POINT,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYET,EDSON,927.0,EDSON,CANADA,YET,53.57899999999999,53.0,N,34.0,44.0,-116.465,116.0,W,27.0,54.0
CYEU,EUREKA,79.0,EUREKA,CANADA,YEU,79.995,79.0,N,59.0,41.0,-85.81299999999999,85.0,W,48.0,48.0
CYEV,INUVIK MIKE ZUBKO,69.0,INUVIK,CANADA,YEV,68.304,68.0,N,18.0,15.0,-133.483,133.0,W,28.0,58.0
CYFB,IQALUIT,34.0,IQALUIT,CANADA,YFB,63.756,63.0,N,45.0,23.0,-68.556,68.0,W,33.0,21.0
CYFC,FREDERICTON,21.0,FREDERICTON,CANADA,YFC,45.869,45.0,N,52.0,10.0,-66.532,66.0,W,31.0,54.0
CYFE,FORESTVILLE,9.0,FORESTVILLE,CANADA,,48.746,48.0,N,44.0,46.0,-69.097,69.0,W,5.0,50.0
CYFL,,0.0,FORT RELIANCE,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYFO,FLIN FLON,304.0,FLIN FLON,CANADA,YFO,54.678000000000004,54.0,N,40.0,41.0,-101.682,101.0,W,40.0,54.0
CYFR,FORT RESOLUTION,161.0,FORT RESOLUTION,CANADA,YFR,61.181000000000004,61.0,N,10.0,51.0,-113.69,113.0,W,41.0,23.0
CYFS,FORT SIMPSON,170.0,FORT SIMPSON,CANADA,YFS,61.76,61.0,N,45.0,37.0,-121.23700000000001,121.0,W,14.0,12.0
CYGA,,0.0,GAGNON,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYGK,KINGSTON,93.0,KINGSTON,CANADA,YGK,44.225,44.0,N,13.0,31.0,-76.597,76.0,W,35.0,49.0
CYGL,LA GRANDE RIVIERE,195.0,LA GRANDE RIVIERE,CANADA,YGL,53.625,53.0,N,37.0,31.0,-77.704,77.0,W,42.0,15.0
CYGP,GASPE,33.0,GASPE,CANADA,YGP,48.775,48.0,N,46.0,31.0,-64.479,64.0,W,28.0,43.0
CYGQ,GERALDTON GREENSTONE REGIONAL,349.0,GERALDTON,CANADA,YGQ,49.778,49.0,N,46.0,42.0,-86.939,86.0,W,56.0,22.0
CYGR,ILES DE LA MADELEINE,11.0,ILES DE LA MADELEINE,CANADA,YGR,47.425,47.0,N,25.0,29.0,-61.778,61.0,W,46.0,41.0
CYGT,,0.0,IGLOOLIK,CANADA,YGT,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYGW,KUUJJUARAPIK,20.0,KUUJJUARARAPIK,CANADA,YGW,55.283,55.0,N,17.0,0.0,-77.767,77.0,W,46.0,0.0
CYGX,GILLAM,144.0,GILLAM,CANADA,YGX,56.35,56.0,N,21.0,0.0,-94.7,94.0,W,42.0,0.0
CYGY,,0.0,DECEPTION,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYGZ,,0.0,GRISE FIORD,CANADA,YGZ,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYHB,HUDSON BAY,359.0,HUDSON BAY,CANADA,YHB,52.817,52.0,N,49.0,0.0,-102.311,102.0,W,18.0,41.0
CYHD,DRYDEN RGNL,413.0,DRYDEN,CANADA,YHD,49.832,49.0,N,49.0,54.0,-92.744,92.0,W,44.0,39.0
CYHE,,0.0,HOPE,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYHI,HOLMAN,36.0,HOLMAN ISLAND,CANADA,YHI,70.763,70.0,N,45.0,47.0,-117.806,117.0,W,48.0,21.0
CYHK,GJOA HAVEN,47.0,GJOA HAVEN,CANADA,YHK,68.63600000000001,68.0,N,38.0,8.0,-95.85,95.0,W,50.0,59.0
CYHM,HAMILTON,238.0,HAMILTON,CANADA,YHM,43.173,43.0,N,10.0,23.0,-79.935,79.0,W,56.0,6.0
CYHO,,0.0,HOPEDALE,CANADA,YHO,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYHU,ST HUBERT,28.0,MONTREAL,CANADA,YHU,45.516999999999996,45.0,N,31.0,3.0,-73.417,73.0,W,25.0,1.0
CYHY,HAY RIVER,166.0,HAY RIVER,CANADA,YHY,60.84,60.0,N,50.0,23.0,-115.78299999999999,115.0,W,46.0,58.0
CYHZ,HALIFAX INTERNATIONAL,146.0,HALIFAX,CANADA,YHZ,44.881,44.0,N,52.0,51.0,-63.50899999999999,63.0,W,30.0,31.0
CYIB,ATIKOKAN MUNI,430.0,ATIKOKAN,CANADA,YIB,48.773999999999994,48.0,N,46.0,26.0,-91.639,91.0,W,38.0,19.0
CYIO,POND INLET,56.0,POND INLET,CANADA,YIO,72.683,72.0,N,41.0,0.0,-77.967,77.0,W,58.0,0.0
CYIV,,0.0,ISLAND LAKE,CANADA,YIV,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYJA,,0.0,JASPER,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYJN,ST JEAN,42.0,ST. JEAN,CANADA,YJN,45.294,45.0,N,17.0,40.0,-73.281,73.0,W,16.0,52.0
CYJT,STEPHENVILLE,26.0,STEPHENVILLE,CANADA,YJT,48.544,48.0,N,32.0,39.0,-58.55,58.0,W,33.0,0.0
CYKA,KAMLOOPS,346.0,KAMLOOPS,CANADA,YKA,50.702,50.0,N,42.0,8.0,-120.44200000000001,120.0,W,26.0,31.0
CYKF,WATERLOO RGNL,317.0,WATERLOO,CANADA,YKF,43.458999999999996,43.0,N,27.0,32.0,-80.384,80.0,W,23.0,4.0
