CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KCSG
SAUDI ARABIA,2.8857946757088232e-05,0.0
SENEGAL,0.0004975110020922012,0.0007583361213337794
SERBIA,1.5583291248827647e-05,0.0
SERRA LEONE,2.712646995166294e-05,3.345600535296086e-05
SIERRA LEONE,0.0002510641367866676,0.0004349280695884911
SINGAPORE,5.7715893514176465e-06,0.0
SLOVAKIA,1.0388860832551764e-05,0.0
SLOVENIA,2.8857946757088232e-06,0.0
SOMALIA,0.0015346656085419522,0.0017620162819226052
SOUTH AFRICA,2.250919847052882e-05,0.0
SOUTH KOREA,4.905850948705e-05,3.345600535296086e-05
SOUTH SUDAN,0.0001881538128562153,2.230400356864057e-05
SPAIN,5.136714522761705e-05,4.460800713728114e-05
SRI LANKA,0.00024471538850010823,0.000234192037470726
ST. KITTS-NEVIS,1.2697496573118822e-05,0.0
ST. LUCIA,7.503066156842941e-06,1.1152001784320285e-05
ST. VINCENT & THE GRENADINES,8.080225091984706e-06,0.0
STATELESS,1.7891926989394705e-05,0.0
SUDAN,0.00012639780679604646,7.8064012490242e-05
SURINAME,5.7715893514176465e-06,0.0
SWEDEN,5.7715893514176465e-06,0.0
SYRIA,6.406464180073588e-05,6.691201070592172e-05
TAIWAN,1.846908592453647e-05,1.1152001784320285e-05
TAJIKISTAN,1.2120337637977058e-05,2.230400356864057e-05
TANZANIA,4.097828439506529e-05,0.0
THAILAND,5.829305244931823e-05,0.0
TOGO,8.195656879013058e-05,5.576000892160143e-05
TONGA,1.1543178702835293e-05,0.0
TRINIDAD & TOBAGO,0.00019507972007791645,0.00011152001784320286
TUNISIA,8.65738402712647e-06,0.0
TURKEY,0.00011831758170406175,0.000156128024980484
TURKMENISTAN,5.771589351417647e-07,0.0
TURKS & CAICOS ISLANDS,7.503066156842941e-06,0.0
UGANDA,3.462953610850588e-05,8.921601427456228e-05
UKRAINE,0.00020489142197532647,0.00010036801605888258
UNITED ARAB EMIRATES,2.8857946757088232e-06,0.0
UNITED KINGDOM,9.46540653632494e-05,5.576000892160143e-05
UNITED STATES OF AMERICA,4.6172714811341175e-06,1.1152001784320285e-05
UNKNOWN,5.71387345790347e-05,1.1152001784320285e-05
URUGUAY,3.289805930308058e-05,0.0
UZBEKISTAN,7.099054902243705e-05,0.00011152001784320286
VENEZUELA,0.0002597215208137941,0.000156128024980484
VIETNAM,0.0004669215785296876,0.0009702241552358649
VIRGIN ISLANDS,2.3086357405670588e-06,0.0
YEMEN,3.174374143279706e-05,1.1152001784320285e-05
YUGOSLAVIA,1.096601976769353e-05,3.345600535296086e-05
ZAMBIA,1.7891926989394705e-05,3.345600535296086e-05
ZIMBABWE,2.193203953538706e-05,4.460800713728114e-05
